vOTU_ID	size	Novel_species	VC	VClustering	Novel_genus	dominant	source	checkv_quality	viral_lifecycle	Related_to_PP	With_ARG	viral_taxonomy_lineage	host_taxonomy_lineage	geNomad	checkV (at least medium)	VIBRANT	Viral_verify	lineage_vcontact
vOTU_0011	42746	No	22	22	No	No	SpadesMetaV	High-quality	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter asaccharolyticus	1	1	1	1	NA
vOTU_0012	42710	Yes	51	51	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	0	0	0	NA
vOTU_0013	30964	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Medium-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp900555245	1	1	1	1	NA
vOTU_0014	30356	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Medium-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	1	1	1	1	NA
vOTU_0015	24672	Yes	226	226	Yes	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	0	0	1	NA
vOTU_0016	22884	No	462	462	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp900552405	1	0	0	0	NA
vOTU_0017	22462	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__UBA9502 sp003480315	1	0	0	0	NA
vOTU_0018	22323	No	234	234	No	No	SpadesMetaV	Medium-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster clostridioformis	1	1	0	0	NA
vOTU_0019	22159	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	0	0	1	NA
vOTU_0020	20650	Yes	922	922	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UMGS1907;s__	1	0	0	0	NA
vOTU_0021	20416	No	62	62	No	No	SpadesMetaV	Low-quality	ND	Yes	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	1	0	0	1	r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes
vOTU_0022	20100	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Medium-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	1	1	0	0	NA
vOTU_0023	19526	Yes	401;443	OUT/SINGLE/OVER	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales	ND	1	0	0	0	NA
vOTU_0024	18612	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	0	0	1	r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes
vOTU_0025	18297	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__BX12;s__BX12 sp014333425	1	0	0	1	NA
vOTU_0026	17736	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	1	0	0	0	NA
vOTU_0027	17103	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__CAG-274;s__CAG-274 sp900545305	1	0	0	1	NA
vOTU_0028	16168	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__BX12;s__BX12 sp014333425	1	0	0	1	NA
vOTU_0029	14577	Yes	442	442	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000467895	1	0	0	0	NA
vOTU_0030	14011	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	0	0	1	NA
vOTU_0031	13813	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	0	0	1	NA
vOTU_0032	13655	No	62	62	No	No	SpadesMetaV	Low-quality	ND	Yes	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp900551225	1	0	0	1	r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes
vOTU_0033	13614	Yes	253	253	No	Yes, in 01	SpadesMetaV	High-quality	non-temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	1	1	1	1	NA
vOTU_0034	13607	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica	1	0	0	1	r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes
vOTU_0035	12602	No	839	839	No	No	SpadesMetaV	Low-quality	ND	No	No	ND	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	0	0	0	1	NA
vOTU_0036	12286	Yes	874	874	Yes	No	SpadesMetaV	Not-determined	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides acidifaciens_A	1	0	0	0	NA
vOTU_0037	11787	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__An92;s__An92 sp009935845	1	0	0	1	NA
vOTU_0038	10931	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia sp004562005	1	0	0	1	NA
vOTU_0039	9574	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus	1	0	0	1	NA
vOTU_0040	8954	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	1	0	0	0	NA
vOTU_0041	7795	Yes	305;686	OUT/SINGLE/OVER	No	No	SpadesMetaV	Not-determined	ND	No	No	ND	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis	1	0	0	0	NA
vOTU_0042	7759	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor sp000508885	1	0	0	1	NA
vOTU_0043	7353	Yes	797	797	No	No	SpadesMetaV	Not-determined	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp900556625	1	0	0	0	NA
vOTU_0044	38027	Yes	110	110	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp900541315	1	1	1	1	NA
vOTU_0045	161059	No	316	316	No	No	SpadesMetaV	Complete	non-temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter splanchnicus	1	1	0	1	NA
vOTU_0046	159284	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Complete	non-temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Ackermannviridae	ND	1	1	1	1	NA
vOTU_0047	61005	Yes	42	42	No	No	SpadesMetaV	Complete	non-temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	1	1	1	NA
vOTU_0048	60861	Yes	593	593	No	No	SpadesMetaV	Complete	non-temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus	1	1	1	1	NA
vOTU_0049	59570	No	140	140	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A obeum	1	1	1	1	NA
vOTU_0050	49427	No	312;370	OUT/SINGLE/OVER	No	No	SpadesMetaV	Complete	non-temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	1	1	1	NA
vOTU_0051	49121	Yes	841	841	Yes	No	SpadesMetaV	Complete	non-temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp003606385	1	1	1	1	NA
vOTU_0052	44952	Yes	80	80	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900756405	1	1	1	1	NA
vOTU_0053	43154	Yes	69	69	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium sp900546885	1	1	1	1	NA
vOTU_0054	42941	No	117	117	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D	1	1	1	1	NA
vOTU_0055	41850	No	130;669	OUT/SINGLE/OVER	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA5446;s__UBA5446 sp900545405	1	1	0	1	NA
vOTU_0056	41000	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	1	1	1	NA
vOTU_0057	40731	No	232	232	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella jalaludinii	1	1	0	1	NA
vOTU_0058	40596	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Complete	temperate	Yes	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter asburiae_A	1	1	0	1	r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes
vOTU_0059	40138	No	312	312	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A faecis	1	1	1	1	NA
vOTU_0060	39818	No	30;402	OUT/SINGLE/OVER	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	1	1	1	NA
vOTU_0061	39782	Yes	53	53	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Massiliomicrobiota;s__Massiliomicrobiota sp002160815	1	1	1	1	NA
vOTU_0062	37329	Yes	82;687	OUT/SINGLE/OVER	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	1	1	1	NA
vOTU_0063	36258	Yes	22;121	OUT/SINGLE/OVER	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp900544615	1	1	1	1	NA
vOTU_0064	35951	Yes	68	68	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_G	1	1	1	1	r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes
vOTU_0065	32407	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Complete	non-temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900757495	1	1	1	1	NA
vOTU_0066	31926	Yes	272	272	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	1	1	1	NA
vOTU_0067	12482	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Medium-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter asaccharolyticus	1	1	0	1	NA
vOTU_0068	11542	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	0	0	1	NA
vOTU_0069	11017	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A indistinctus	1	0	0	1	NA
vOTU_0070	7745	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium thermophilum_A	1	0	0	1	NA
vOTU_0071	59916	Yes	840	840	Yes	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium urinapleomorphum	1	0	1	1	NA
vOTU_0072	58895	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	High-quality	non-temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Casjensviridae	ND	1	1	1	1	r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes
vOTU_0073	54765	No	42	42	No	No	SpadesMetaV	Medium-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus sp000435195	1	1	1	1	NA
vOTU_0074	54560	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	High-quality	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A sp900240235	1	1	1	1	NA
vOTU_0075	50476	No	87	87	No	No	SpadesMetaV	High-quality	non-temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_C	1	1	0	1	NA
vOTU_0076	44895	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	High-quality	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	1	1	1	NA
vOTU_0077	44276	No	46	46	No	No	SpadesMetaV	High-quality	non-temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum faecicola	1	1	1	1	NA
vOTU_0078	43085	Yes	296	296	No	No	SpadesMetaV	High-quality	temperate	Yes	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia albertii	1	1	1	1	r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes
vOTU_0079	42464	Yes	22	22	No	No	SpadesMetaV	High-quality	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter asaccharolyticus	1	1	1	1	NA
vOTU_0080	41878	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	High-quality	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__	1	1	1	1	NA
vOTU_0081	40348	No	OUT/SINGLE	OUT/SINGLE/OVER	No	No	SpadesMetaV	Low-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	0	0	1	NA
vOTU_0082	39932	No	66	66	No	No	SpadesMetaV	Medium-quality	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	1	1	0	1	NA
vOTU_0083	38960	No	371	371	No	No	SpadesMetaV	High-quality	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium infantis	1	1	0	1	r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes
