Genome_vCon	VC	VC Status	Size	VC Subcluster	VC Subcluster Size	Quality	Adj P-value	Topology Confidence Score
NZ_CP004871	230_0	Clustered	6	VC_230_0	6	0.4203	1	0.4203
NZ_CP004882	663_0	Clustered	8	VC_663_0	8	0.8905	0.99999998	0.8905
NZ_CP009347	570_0	Clustered	7	VC_570_0	7	0.9095	1	0.9095
NZ_CP009346	663_0	Clustered	8	VC_663_0	8	0.8905	0.99999998	0.8905
NZ_CP017776	609_0	Clustered	2	VC_609_0	2	0.3281	0.9408528	0.3087
NZ_CP069392	488_1	Clustered/Singleton	1	VC_488_1	1	0	1	0
NZ_CP032366	488_2	Clustered/Singleton	1	VC_488_2	1	0	1	0
NC_011245	909_0	Clustered	2	VC_909_0	2	1	1	1
NC_011261	909_0	Clustered	2	VC_909_0	2	1	1	1
NZ_CP014569	910_0	Clustered	2	VC_910_0	2	1	1	1
NZ_CP007000	910_0	Clustered	2	VC_910_0	2	1	1	1
NZ_AP018173	381_2	Clustered/Singleton	1	VC_381_2	1	0	1	0
NZ_CP011655	1_1	Clustered	25	VC_1_1	25	0.2736	1	0.2736
NZ_CP032183	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_CP032182	86_0	Clustered	65	VC_86_0	65	0.9154	1	0.9154
NZ_CP048417	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_CP056516	1_8	Clustered/Singleton	1	VC_1_8	1	0	1	0
NZ_CP056637	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_CP056853	104_4	Clustered/Singleton	1	VC_104_4	1	0	1	0
NZ_CP047774	85_0	Clustered	4	VC_85_0	4	0.0872	0.99998523	0.0872
NZ_CP070546	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_CP057633	1_3	Clustered	2	VC_1_3	2	0.0108	0.95763523	0.0104
NZ_CP057631	1_3	Clustered	2	VC_1_3	2	0.0108	0.95763523	0.0104
NZ_CP056836	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_CP056422	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_CP056423	86_0	Clustered	65	VC_86_0	65	0.9154	1	0.9154
NZ_CP056401	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_CP056343	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_LN908215	14_0	Clustered	63	VC_14_0	63	0.5575	1	0.5575
NZ_CP014147	787_0	Clustered	4	VC_787_0	4	0.987	0.99289298	0.98
NZ_CP014218	787_0	Clustered	4	VC_787_0	4	0.987	0.99289298	0.98
NZ_CP014173	787_0	Clustered	4	VC_787_0	4	0.987	0.99289298	0.98
NZ_CP031100	787_0	Clustered	4	VC_787_0	4	0.987	0.99289298	0.98
NZ_CP063817	476_0	Clustered	2	VC_476_0	2	0.615	0.94988795	0.5842
NZ_CP020426	460_0	Clustered	2	VC_460_0	2	0.468	0.94916107	0.4442
NZ_CP020425	263_0	Clustered	5	VC_263_0	5	0.5529	0.99999995	0.5529
NZ_CP029155	460_0	Clustered	2	VC_460_0	2	0.468	0.94916107	0.4442
NZ_CP029156	263_0	Clustered	5	VC_263_0	5	0.5529	0.99999995	0.5529
NZ_CP029153	263_0	Clustered	5	VC_263_0	5	0.5529	0.99999995	0.5529
NZ_CP021320	350_0	Clustered	7	VC_350_0	7	0.614	1	0.614
NC_017176	263_0	Clustered	5	VC_263_0	5	0.5529	0.99999995	0.5529
NZ_CP011969	263_0	Clustered	5	VC_263_0	5	0.5529	0.99999995	0.5529
NC_009466	753_0	Clustered	2	VC_753_0	2	0.9291	0.91237788	0.8477
NC_011836	753_0	Clustered	2	VC_753_0	2	0.9291	0.91237788	0.8477
NZ_CP008945	19_0	Clustered	43	VC_19_0	43	0.601	1	0.601
NC_009343	518_0	Clustered	5	VC_518_0	5	0.7038	0.99995697	0.7038
NZ_CP009216	518_0	Clustered	5	VC_518_0	5	0.7038	0.99995697	0.7038
NZ_CP012254	1_5	Clustered/Singleton	1	VC_1_5	1	0	1	0
NZ_CP038638	473_0	Clustered	6	VC_473_0	6	0.4409	0.99999999	0.4409
NZ_CP044987	381_0	Clustered/Singleton	1	VC_381_0	1	0	1	0
NZ_CP054061	207_0	Clustered	4	VC_207_0	4	0.413	0.99998302	0.413
NZ_CP019991	14_0	Clustered	63	VC_14_0	63	0.5575	1	0.5575
NZ_LN999990	340_0	Clustered	15	VC_340_0	15	0.7368	1	0.7368
NZ_CP030078	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_CP031722	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_CP019891	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_CP042573	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_CP046272	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_CP051133	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_CP044336	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_CP053193	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_CP058165	1_7	Clustered/Singleton	1	VC_1_7	1	0	1	0
NZ_CP058189	175_1	Clustered	29	VC_175_1	29	0.5623	1	0.5623
NZ_CP061745	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_CP047967	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_CP064658	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_CP010386	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_CP029247	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_CP024909	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_CP034755	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_AP019819	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_AP022453	1_2	Clustered	29	VC_1_2	29	0.2697	1	0.2697
NZ_CP058197	104_2	Clustered/Singleton	1	VC_104_2	1	0	1	0
NC_015969	175_1	Clustered	29	VC_175_1	29	0.5623	1	0.5623
NZ_CP042502	382_0	Clustered	3	VC_382_0	3	0.1093	0.99799793	0.109
NZ_CP042838	340_0	Clustered	15	VC_340_0	15	0.7368	1	0.7368
NZ_CP030784	9_2	Clustered	4	VC_9_2	4	0.0191	0.999967	0.0191
NZ_CP034163	9_2	Clustered	4	VC_9_2	4	0.0191	0.999967	0.0191
NZ_CP034164	9_2	Clustered	4	VC_9_2	4	0.0191	0.999967	0.0191
NZ_CP009861	289_0	Clustered	26	VC_289_0	26	0.8838	1	0.8838
NZ_CP013030	9_1	Clustered	12	VC_9_1	12	0.0673	1	0.0673
NZ_CP014490	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP014491	72_0	Clustered	6	VC_72_0	6	0.1361	1	0.1361
NZ_CP015997	9_9	Clustered/Singleton	1	VC_9_9	1	0	1	0
NZ_CP015915	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP016549	9_7	Clustered	19	VC_9_7	19	0.0971	1	0.0971
NZ_CP012491	9_17	Clustered	11	VC_9_17	11	0.0583	1	0.0583
NZ_CP015837	9_20	Clustered	15	VC_9_20	15	0.1032	1	0.1032
NZ_CP017847	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP010144	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP010153	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP010173	9_20	Clustered	15	VC_9_20	15	0.1032	1	0.1032
NZ_CP010244	1_0	Clustered	6	VC_1_0	6	0.0518	1	0.0518
NZ_CP018956	111_0	Clustered	5	VC_111_0	5	0.309	0.99999997	0.309
NZ_CP019002	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP019013	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP019027	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP020051	26_0	Clustered	25	VC_26_0	25	0.7311	1	0.7311
NZ_CP020118	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP021203	9_14	Clustered/Singleton	1	VC_9_14	1	0	1	0
NZ_CP021336	9_21	Clustered	5	VC_9_21	5	0.0237	0.99999734	0.0237
NZ_CP021340	9_21	Clustered	5	VC_9_21	5	0.0237	0.99999734	0.0237
NZ_CP032875	26_0	Clustered	25	VC_26_0	25	0.7311	1	0.7311
NZ_CP022228	26_0	Clustered	25	VC_26_0	25	0.7311	1	0.7311
NZ_CP028585	26_0	Clustered	25	VC_26_0	25	0.7311	1	0.7311
NZ_CP034959	9_7	Clustered	19	VC_9_7	19	0.0971	1	0.0971
NZ_CP021537	26_0	Clustered	25	VC_26_0	25	0.7311	1	0.7311
NZ_CP022167	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP023381	9_20	Clustered	15	VC_9_20	15	0.1032	1	0.1032
NZ_CP023368	289_0	Clustered	26	VC_289_0	26	0.8838	1	0.8838
NZ_AP017612	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP023896	9_7	Clustered	19	VC_9_7	19	0.0971	1	0.0971
NZ_CP023961	9_20	Clustered	15	VC_9_20	15	0.1032	1	0.1032
NZ_CP024271	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP024832	9_20	Clustered	15	VC_9_20	15	0.1032	1	0.1032
NZ_CP024817	9_20	Clustered	15	VC_9_20	15	0.1032	1	0.1032
NZ_CP024865	289_0	Clustered	26	VC_289_0	26	0.8838	1	0.8838
NZ_CP027199	9_3	Clustered	2	VC_9_3	2	0.0059	0.95726446	0.0056
NZ_CP019054	9_7	Clustered	19	VC_9_7	19	0.0971	1	0.0971
NZ_CP019075	9_20	Clustered	15	VC_9_20	15	0.1032	1	0.1032
NZ_CP026725	9_18	Clustered	8	VC_9_18	8	0.0374	1	0.0374
NZ_CP019275	175_1	Clustered	29	VC_175_1	29	0.5623	1	0.5623
NZ_CP019279	175_1	Clustered	29	VC_175_1	29	0.5623	1	0.5623
NZ_CP019274	175_1	Clustered	29	VC_175_1	29	0.5623	1	0.5623
NZ_CP019246	175_1	Clustered	29	VC_175_1	29	0.5623	1	0.5623
NZ_CP019283	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP019258	72_0	Clustered	6	VC_72_0	6	0.1361	1	0.1361
NZ_CP019257	175_1	Clustered	29	VC_175_1	29	0.5623	1	0.5623
NZ_CP021729	9_6	Clustered	9	VC_9_6	9	0.0473	1	0.0473
NZ_CP026475	9_6	Clustered	9	VC_9_6	9	0.0473	1	0.0473
NZ_CP027133	9_16	Clustered	6	VC_9_16	6	0.029	0.99999999	0.029
NZ_CP027223	9_1	Clustered	12	VC_9_1	12	0.0673	1	0.0673
NZ_CP027309	26_0	Clustered	25	VC_26_0	25	0.7311	1	0.7311
NZ_CP027369	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP027443	9_1	Clustered	12	VC_9_1	12	0.0673	1	0.0673
NZ_CP027590	9_1	Clustered	12	VC_9_1	12	0.0673	1	0.0673
NZ_CP027575	9_1	Clustered	12	VC_9_1	12	0.0673	1	0.0673
NZ_CP027358	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP028194	289_0	Clustered	26	VC_289_0	26	0.8838	1	0.8838
NZ_CP020518	289_0	Clustered	26	VC_289_0	26	0.8838	1	0.8838
NZ_CP020522	9_6	Clustered	9	VC_9_6	9	0.0473	1	0.0473
NZ_CP029103	9_7	Clustered	19	VC_9_7	19	0.0971	1	0.0971
NZ_CP029117	9_20	Clustered	15	VC_9_20	15	0.1032	1	0.1032
NZ_CP029365	26_0	Clustered	25	VC_26_0	25	0.7311	1	0.7311
NZ_CP028433	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP031136	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP023732	9_4	Clustered	5	VC_9_4	5	0.0246	0.99999981	0.0246
NZ_CP031654	9_7	Clustered	19	VC_9_7	19	0.0971	1	0.0971
NZ_CP032259	289_0	Clustered	26	VC_289_0	26	0.8838	1	0.8838
NZ_CP033097	7_2	Clustered/Singleton	1	VC_7_2	1	0	1	0
NZ_CP033252	1_0	Clustered	6	VC_1_0	6	0.0518	1	0.0518
NZ_CP033848	9_19	Clustered	3	VC_9_19	3	0.0104	0.99667941	0.0104
NZ_CP033882	9_16	Clustered	6	VC_9_16	6	0.029	0.99999999	0.029
NZ_CP023851	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP022733	9_17	Clustered	11	VC_9_17	11	0.0583	1	0.0583
NZ_CP025870	7_0	Clustered	5	VC_7_0	5	0.0526	0.99999815	0.0526
NZ_CP025868	7_0	Clustered	5	VC_7_0	5	0.0526	0.99999815	0.0526
NZ_CP025883	7_0	Clustered	5	VC_7_0	5	0.0526	0.99999815	0.0526
NZ_CP025894	7_0	Clustered	5	VC_7_0	5	0.0526	0.99999815	0.0526
NZ_AP018804	26_0	Clustered	25	VC_26_0	25	0.7311	1	0.7311
NZ_AP018809	9_1	Clustered	12	VC_9_1	12	0.0673	1	0.0673
NZ_CP031294	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP034790	26_0	Clustered	25	VC_26_0	25	0.7311	1	0.7311
NZ_CP035313	9_16	Clustered	6	VC_9_16	6	0.029	0.99999999	0.029
NZ_CP020497	289_0	Clustered	26	VC_289_0	26	0.8838	1	0.8838
NZ_CP038506	9_17	Clustered	11	VC_9_17	11	0.0583	1	0.0583
NZ_CP037905	9_21	Clustered	5	VC_9_21	5	0.0237	0.99999734	0.0237
NZ_CP029421	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP040920	9_21	Clustered	5	VC_9_21	5	0.0237	0.99999734	0.0237
NZ_CP040921	289_0	Clustered	26	VC_289_0	26	0.8838	1	0.8838
NZ_CP040069	9_3	Clustered	2	VC_9_3	2	0.0059	0.95726446	0.0056
NZ_CP041922	9_10	Clustered/Singleton	1	VC_9_10	1	0	1	0
NZ_CP041451	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP045278	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP045829	9_1	Clustered	12	VC_9_1	12	0.0673	1	0.0673
NZ_CP046005	9_7	Clustered	19	VC_9_7	19	0.0971	1	0.0971
NZ_CP046008	1_0	Clustered	6	VC_1_0	6	0.0518	1	0.0518
NZ_CP041960	9_20	Clustered	15	VC_9_20	15	0.1032	1	0.1032
NZ_CP045191	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP026938	9_7	Clustered	19	VC_9_7	19	0.0971	1	0.0971
NZ_CP047663	26_0	Clustered	25	VC_26_0	25	0.7311	1	0.7311
NZ_CP041630	9_18	Clustered	8	VC_9_18	8	0.0374	1	0.0374
NZ_CP041423	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP041426	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
NZ_CP048306	7_1	Clustered	49	VC_7_1	49	0.7854	1	0.7854
